iteration,case_id,scenario,pass_criteria
00,I00-AC01,页面注册完整,29 个 P0 Frame 均存在唯一 ID、中文名称和归属迭代。
00,I00-AC02,接口追踪完整,每个 P0 可点击业务动作均可追踪到接口或明确标记为纯导航。
00,I00-AC03,模型追踪完整,每个写接口都能追踪到领域对象、状态变化和持久化表。
00,I00-AC04,OpenAPI 有效,OpenAPI 可解析；operationId 唯一；统一响应包含 request_id。
00,I00-AC05,边界冻结,P0 明确只实现 Novel Pack、内置 Mock Provider；真实 AI、外部工作流、发布集成不执行。
01,I01-AC01,一键启动,docker compose 启动 API:8080、Web:3000、PostgreSQL、Redis。
01,I01-AC02,健康检查,/healthz 返回 200；/readyz 在依赖就绪时返回 200。
01,I01-AC03,数据库迁移,空库可正向迁移到最新版本；测试库可重复创建。
01,I01-AC04,前端骨架,S00_HOME 可访问，全局导航和统一 API Client 已接入。
01,I01-AC05,质量门禁,Go test、Web lint/typecheck、契约校验、Playwright 基础用例通过。
02,I02-AC01,创建并进入项目,提交合法项目后创建成功，并进入同一 projectId 的 S02_PROJECT_OVERVIEW。
02,I02-AC02,列表持久化,创建后重新进入或刷新 S01_PROJECTS，刚创建的项目仍显示。
02,I02-AC03,校验失败无脏数据,名称为空或类型非法时返回 400，数据库不新增 Project。
02,I02-AC04,概览一致性,项目概览名称、类型、状态与 GET /projects/{id} 一致。
02,I02-AC05,首页最近项目,创建或更新项目后，S00_HOME 最近项目按更新时间正确展示。
03,I03-AC01,项目内创建自动全局同步,在项目内创建素材后，Material 只创建 1 条；项目关系创建 1 条；全局素材查询可见。
03,I03-AC02,素材本体与用途分离,编辑 Material 名称会影响所有引用；编辑 ProjectMaterialUsage 只影响当前项目。
03,I03-AC03,绑定不重复,绑定已有素材只新增 usage，不新增重复 Material。
03,I03-AC04,解绑不删除全局素材,解绑后项目列表不再显示，但 GET /materials/{id} 仍可查询。
03,I03-AC05,策划持久化,保存项目策划后刷新页面，字段保持一致。
03,I03-AC06,并发约束,同一项目与同一素材不得存在重复有效绑定。
04,I04-AC01,创建主线,创建主线后 B1 左侧树出现新根节点，刷新后仍存在。
04,I04-AC02,创建子线,子故事线 parent_id 指向所选主线，并在正确父节点下展示。
04,I04-AC03,跨线伏笔,伏笔可分别关联种下故事线和计划回收故事线。
04,I04-AC04,非法父级校验,不存在或跨项目的 parent_id 返回 400/404，不产生数据。
04,I04-AC05,树顺序稳定,同级 sort_order 可持久化，刷新后顺序不漂移。
05,I05-AC01,模拟生成只产生候选,生成后状态为 pending_confirmation，不自动创建正文。
05,I05-AC02,编辑持久化,编辑标题、摘要、故事线、素材或伏笔关系后刷新仍一致。
05,I05-AC03,选择性确认,仅选中的候选转为 confirmed；未选中的保持待确认。
05,I05-AC04,确认来源保留,确认后 source=mock_generated 等来源字段不丢失。
05,I05-AC05,生产门槛,未确认章节调用创建正文接口返回 409；已确认章节允许进入 D1_EDITOR。
05,I05-AC06,确认幂等,重复提交同一批确认请求不会重复创建章节或破坏状态。
06,I06-AC01,创建正文门槛,只有 confirmed ChapterPlan 才能创建 ContentItem。
06,I06-AC02,草稿保存,编辑正文并保存后刷新，正文、字数和更新时间一致。
06,I06-AC03,模拟生成 v1,首次模拟生成创建 v1，并记录 source=mock_generated。
06,I06-AC04,审核结果完整,模拟审核产生可展示的问题与建议集合，D2 可正确渲染。
06,I06-AC05,审核不覆盖正文,创建 ReviewReport 前后 ContentVersion 正文哈希不变。
06,I06-AC06,返回编辑器,从 D2 返回 D1 后加载同一 contentItemId 和同一版本。
07,I07-AC01,创建 v2 保留 v1,重写成功后 versions 数量增加 1，v1 内容和记录仍存在。
07,I07-AC02,不自动切换当前版本,生成 v2 后 current_version_id 仍保持原值，除非用户后续明确选择。
07,I07-AC03,不自动审核与发布,v2 初始 review_status=not_submitted，publish_status=not_published。
07,I07-AC04,取消无副作用,D4 取消时不创建 WorkflowRun 或 ContentVersion。
07,I07-AC05,项目作品聚合,D3 可显示章节、当前版本、审核状态和可用版本数量。
07,I07-AC06,运行可追踪,WorkflowRun 输入、输出摘要、开始/结束时间和错误信息可查询。
08,I08-AC01,全局素材聚合,项目内创建的素材在 E1 可见，并展示正确引用项目与用途摘要。
08,I08-AC02,全局作品聚合,E2 可跨项目展示作品，并能定位到源项目、正文和审核。
08,I08-AC03,流程中心边界,E3 只显示内置模拟流程，不执行 n8n/Coze/ComfyUI。
08,I08-AC04,设置状态准确,模拟能力=已启用；真实 AI=暂未配置；发布与外部工作流=暂未开放。
08,I08-AC05,无虚假配置,P0 页面不得出现 API Key、OAuth、连接成功或真实调用记录。
09,I09-AC01,完整主链路,从空数据库开始，用户可完成项目→素材→故事线→章节→正文→审核→重写→作品。
09,I09-AC02,迭代需求全覆盖,Iteration 02–08 每个核心需求至少有 1 条可重复执行的 E2E 用例。
09,I09-AC03,持久化回归,停止并重新启动 API/Web 后，主链路数据、引用和版本关系不丢失。
09,I09-AC04,契约回归,OpenAPI、错误码、DTO、数据库迁移和前后端调用无漂移。
09,I09-AC05,UI 回归,关键页面与冻结 UI 在布局、字段、状态和交互入口上无业务性漂移。
09,I09-AC06,边界回归,真实 AI、外部工作流和发布平台仍保持禁用，不产生伪成功数据。
09,I09-AC07,质量门禁,Go 单测/集成测试、Web typecheck/unit、Playwright、契约测试全部通过。
