iteration,name,goal,dependencies,frame_count,api_count,acceptance_count
00,P0 契约与基线冻结,冻结页面 ID、闭环链路、API、领域对象、状态机与验收追踪关系，后续迭代不得无审批漂移。,,0,3,5
01,技术骨架与基础设施,完全复用 1.0 技术骨架，建立可启动、可迁移、可测试、可部署的 2.0 P0 工程。,00,1,3,5
02,首页与项目创建闭环,用户可以从首页进入项目列表，创建小说项目并进入项目概览；刷新后数据仍存在。,01,4,6,5
03,项目策划与素材闭环,完成项目策划保存，以及素材本体、项目用途、全局同步、绑定与解绑的完整闭环。,02,8,11,6
04,故事线与伏笔闭环,完成主线、子故事线和跨故事线伏笔的创建与持久化。,03,4,7,5
05,章节规划与确认闭环,完成模拟生成候选章节、编辑/删除/选择、确认，以及确认后才允许进入正文生产。,04,4,6,6
06,正文编辑与模拟审核闭环,从已确认章节创建正文、保存草稿、模拟生成 v1、提交模拟审核，并保证审核不覆盖正文。,05,2,7,6
07,重写版本与项目作品闭环,根据审核结果创建重写版本 v2，保留 v1，并在项目作品页集中查看正文、审核和版本。,06,3,6,6
08,全局 Lite 页面与能力展示,完成全局素材、全局作品、流程中心和全局设置的只读/轻交互聚合能力。,07,4,5,5
09,P0 全链路联调与系统验收,按每个迭代核心需求完成真实数据驱动的全链路验收，禁止只做页面与接口冒烟。,08,29,1,7
